date,State,total_cases,total_deaths,new_cases,new_deaths,norm_pop
2020-12-27,MD,4307.174709875481,91.81762845535985,270.9372642945045,4.978761694300724,60.4568
2020-07-05,NC,650.0996750216722,12.862215825121156,95.97558524512198,0.7341665074383462,104.88084
2020-07-12,NC,759.442811480152,13.701263262193551,109.34313645847992,0.8390474370723956,104.88084
2020-07-19,NC,891.6309213389213,14.883557378068291,132.18810985876925,1.1822941158747393,104.88084
2020-07-26,NC,1019.042181584358,16.208870943444005,127.41126024543662,1.3253135653757158,104.88084
2020-08-02,NC,1143.3260832007065,17.763015628021286,124.2839016163486,1.5541446845772782,104.88084
2020-08-09,NC,1251.2866983140104,19.6890108813011,107.96061511330382,1.9259952532798172,104.88084
2020-08-16,NC,1340.0064301544494,21.34803649551243,88.71973184043911,1.6590256142113278,104.88084
2020-08-23,NC,1430.88098836737,23.150081559224734,90.87455821292049,1.8020450637123042,104.88084
2020-08-30,NC,1535.8286604111865,24.7614340236024,104.94767204381658,1.6113524643776689,104.88084
2020-09-06,NC,1640.070769837465,26.47766741761412,104.24210942627843,1.7162333940117183,104.88084
2020-09-13,NC,1726.3877749262876,28.232039331492768,86.3170050888227,1.7543719138786453,104.88084
2020-09-20,NC,1807.0698137047718,29.900599575670824,80.68203877848423,1.6685602441780596,104.88084
2020-09-27,NC,1909.6052243670053,31.71217926934986,102.53541066223345,1.811579693679036,104.88084
2020-10-04,NC,2029.0073954403872,33.67631304249661,119.40217107338194,1.9641337731467443,104.88084
2020-10-11,NC,2148.953040421873,35.135111427406564,119.94564498148564,1.4587983849099606,104.88084
2020-10-18,NC,2279.5584017061647,36.65111759211692,130.60536128429177,1.516006164710351,104.88084
2020-10-25,NC,2410.4116633695917,38.00503504739283,130.8532616634268,1.3539174552759112,104.88084
2020-11-01,NC,2533.456063090265,39.73080307137128,123.04439972067347,1.72576802397845,104.88084
2020-11-08,NC,2713.460342232194,42.34329168225578,180.00427914192906,2.6124886108845047,104.88084
2020-11-15,NC,2885.3411166424676,44.440910274936776,171.8807744102736,2.097618592680989,104.88084
2020-11-22,NC,3092.4046756299813,46.20481681878215,207.06355898751383,1.7639065438453772,104.88084
2020-11-29,NC,3339.1990376888666,48.54080116063143,246.7943620588851,2.3359843418492834,104.88084
2020-12-06,NC,3609.4199855760116,51.01980495198169,270.22094788714503,2.4790037913502596,104.88084
2020-12-13,NC,3976.3220813258167,54.06135191136913,366.9020957498052,3.0415469593874342,104.88084
2020-12-20,NC,4376.824213078385,57.293591470091194,400.50213175256795,3.2322395587220694,104.88084
2020-12-27,NC,4664.255168055481,59.343536912938525,287.4309549770959,2.04994544284733,104.88084
2020-06-28,OH,411.68267873488975,23.663070724007834,,,116.891
2020-07-05,OH,460.5829362397447,24.450128752427474,48.90025750485495,0.7870580284196388,116.891
2020-07-12,OH,526.4477162484708,25.536611030789366,65.86478000872607,1.0864822783618926,116.891
2020-07-19,OH,605.5983779760631,26.43488378061613,79.15066172759236,0.8982727498267616,116.891
2020-07-26,OH,685.6387574749125,27.709575587513154,80.04037949884935,1.2746918068970237,116.891
2020-08-02,OH,764.1306858526319,29.2152518157942,78.4919283777194,1.505676228281048,116.891
2020-08-09,OH,833.5800018820953,30.738038001214804,69.44931602946335,1.5227861854206055,116.891
2020-08-16,OH,900.077850304985,31.969954915262935,66.4978484228897,1.2319169140481303,116.891
2020-08-23,OH,957.6186361653164,33.35586144356708,57.54078586033142,1.3859065283041465,116.891
2020-08-30,OH,1016.810532889615,34.57922337904543,59.1918967242987,1.2233619354783516,116.891
2020-09-06,OH,1086.6704878904277,35.8368052288029,69.85995500081272,1.2575818497574662,116.891
2020-09-13,OH,1148.0610141071595,37.077277121420806,61.39052621673182,1.240471892617909,116.891
2020-09-20,OH,1210.2129334166018,38.77971785680677,62.15191930944213,1.7024407353859579,116.891
2020-09-27,OH,1264.8364715846387,40.020189749424674,54.62353816803689,1.240471892617909,116.891
2020-10-04,OH,1328.94748098656,41.23499670633325,64.11100940192145,1.2148069569085729,116.891
2020-10-11,OH,1405.8054084574517,42.35569889897425,76.85792747089168,1.1207021926410075,116.891
2020-10-18,OH,1504.5213061741279,42.971657355998325,98.71589771667621,0.6159584570240652,116.891
2020-10-25,OH,1630.724350035503,43.89559504153442,126.20304386137512,0.9239376855360977,116.891
2020-11-01,OH,1789.8041765405376,44.92219246990786,159.0798265050346,1.0265974283734418,116.891
2020-11-08,OH,2015.7582705255322,46.376538826770236,225.95409398499456,1.454346356862376,116.891
2020-11-15,OH,2357.3414548596556,48.01909471216774,341.58318433412325,1.642555885397507,116.891
2020-11-22,OH,2714.6914646978807,49.122686947669195,357.35000983822533,1.10359223550145,116.891
2020-11-29,OH,3314.5237871179133,53.20341172545363,599.8323224200323,4.0807247777844315,116.891
2020-12-06,OH,3831.5268070253483,57.429571138924295,517.0030199074351,4.226159413470669,116.891
2020-12-13,OH,4527.320324062588,62.023594630895445,695.7935170372398,4.594023491971153,116.891
2020-12-20,OH,5100.88030729483,66.88282245852974,573.559983232242,4.8592278276342915,116.891
2020-12-27,OH,5564.910899898196,71.38274118623333,464.0305926033655,4.499918727703587,116.891
2020-07-05,ID,374.0770481208014,5.092148299026616,98.09380184828196,0.1119153472313542,17.87065
2020-07-12,ID,526.1140473345961,5.483852014336356,152.03699921379467,0.3917037153097397,17.87065
2020-07-19,ID,722.6933547464697,6.099386424108804,196.57930741187366,0.6155344097724481,17.87065
